ID,MonthlyIncome
871,5974.437465
872,2173.878701
873,14366.70521
874,2139.384571
875,2110.539964
876,7081.421276
877,5962.378543
878,1933.923601
879,2339.255021
880,15252.29732
881,11311.63589
882,2351.485834
883,5830.695136
884,5849.418661
885,6398.900322
886,5785.243109
887,6205.642881
888,6153.698143
889,6168.532967
890,2181.0238
891,5998.637376
892,9864.977865
893,9778.438785
894,5860.439442
895,11386.15428
896,10001.01745
897,10235.21311
898,14009.46715
899,6006.523301
900,2270.610543
901,2223.379547
902,6463.098937
903,6784.853336
904,2521.514743
905,14822.30558
906,5822.131267
907,10664.11387
908,6036.872624
909,1920.358717
910,1896.947004
911,18511.40918
912,2197.337785
913,2319.150054
914,10016.7893
915,6189.956976
916,5798.965619
917,2039.493565
918,5769.111058
919,1937.034147
920,2928.056197
921,2055.917804
922,1949.337887
923,6282.790074
924,6290.478553
925,15688.7432
926,2417.868354
927,6016.866139
928,10247.10506
929,1851.653849
930,2224.625179
931,6227.102488
932,9861.016238
933,9797.321182
934,2178.185015
935,1881.398154
936,2120.266495
937,10591.35014
938,10686.03389
939,6774.597691
940,1917.632678
941,2890.807839
942,9945.357148
943,10852.86208
944,5801.42253
945,1785.540455
946,5863.030917
947,1847.124533
948,2011.033466
949,2184.514974
950,6093.272505
951,2522.106741
952,6000.550907
953,6104.356169
954,2125.387808
955,6154.943775
956,9954.146652
957,12100.44333
958,2338.191324
959,10956.67157
960,18893.54642
961,2129.806869
962,6024.506
963,6501.407112
964,6279.530699
965,1893.836458
966,18141.66572
967,2055.942113
968,9755.273136
969,15633.00997
970,2109.837712
971,5863.16548
972,6023.443549
973,2068.98668
974,1842.595218
975,5809.96209
976,2007.945982
977,7078.742609
978,2173.272438
979,10086.71674
980,18633.93672
981,2219.826737
982,10490.71831
983,2356.013904
984,2105.198142
985,6012.94184
986,2342.018387
987,1875.694887
988,5983.803797
989,10225.67981
990,2031.852457
991,6443.092452
992,2046.229848
993,6153.709432
994,6010.931073
995,5901.96717
996,6268.631463
997,2070.024822
998,14730.65648
999,9907.752472
1000,1968.085721
1001,6818.424705
1002,6087.906374
1003,6040.907177
1004,7041.791567
1005,2410.660372
1006,6149.871079
1007,1922.927129
1008,6333.37768
1009,18698.05064
1010,6490.756573
1011,10629.17657
1012,6515.711576
1013,6115.584439
1014,6228.289459
1015,6077.204584
1016,2304.955845
1017,2340.041972
1018,9750.743821
1019,9878.638738
1020,1804.941924
1021,6097.062241
1022,6132.248579
1023,6102.394019
1024,10557.59386
1025,14485.61739
1026,18246.75816
1027,6210.233834
1028,5751.647431
1029,5798.94131
1030,10527.28187
1031,5791.733327
1032,2357.5056
1033,9692.38179
1034,1869.771111
1035,6179.687065
1036,1829.660905
1037,5870.782279
1038,10357.73643
1039,9963.94611
1040,6136.33175
1041,2124.103602
1042,2207.112934
1043,9831.051424
1044,6360.748044
1045,2051.412798
1046,1891.764054
1047,5967.537184
1048,9885.759529
1049,2165.003251
1050,6084.276757
1051,10885.34372
1052,2205.767091
1053,6088.089555
1054,2266.711799
1055,2155.896002
1056,2220.788072
1057,6001.873688
1058,14261.63125
1059,6733.117334
1060,2149.318592
1061,6349.865707
1062,5971.461483
1063,6354.728279
1064,1990.978363
1065,6463.579434
1066,2065.741571
1067,3283.329467
1068,18420.55832
1069,5844.258774
1070,2189.946622
1071,2194.784884
1072,6117.52228
1073,1909.992817
1074,6125.200715
1075,6187.773071
1076,14419.93415
1077,18393.95309
1078,5986.468199
1079,6089.532634
1080,6927.706352
1081,2452.203612
1082,2028.654719
1083,1894.986101
1084,6360.131738
1085,9853.044367
1086,10314.3681
1087,5909.064898
1088,2316.644525
1089,2130.570758
1090,5802.235037
1091,5872.224111
1092,6300.83268
1093,9766.269608
1094,5983.062971
1095,5799.643562
1096,6011.003999
1097,3108.179245
1098,2156.549637
1099,2187.649829
1100,6039.512716
1101,17740.09973
1102,6061.567296
1103,6372.907178
1104,12012.09217
1105,2312.053572
1106,2217.504389
1107,2212.999382
1108,6341.152105
1109,5863.16548
1110,5907.780692
1111,6255.672842
1112,10327.83325
1113,10238.66571
1114,6941.813369
1115,10788.5046
1116,2240.781538
1117,6980.924007
1118,6009.855603
1119,11101.88004
1120,2229.04424
1121,10862.55426
1122,15120.50366
1123,6051.13976
1124,14166.23099
1125,2010.378585
1126,1926.778501
1127,2087.758823
1128,6246.160657
1129,14048.2944
1130,1989.175086
1131,9943.457882
1132,14032.85456
1133,6049.224982
1134,2106.914227
1135,2513.788936
1136,2133.792804
1137,3073.03148
1138,6107.539641
1139,10085.54279
1140,13757.45701
1141,6088.11511
1142,6073.26602
1143,10965.78886
1144,5743.107871
1145,6359.366603
1146,6103.615342
1147,5914.358103
1148,2084.488158
1149,1979.351319
1150,6075.205107
1151,2035.77551
1152,6017.448093
1153,7104.00497
1154,1865.89543
1155,6373.546547
1156,14563.24633
1157,2162.228595
1158,6805.553276
1159,1998.887351
1160,6090.633659
1161,2146.009353
1162,10103.57708
1163,2298.648807
1164,10090.58113
1165,2166.941092
1166,1983.746072
1167,10095.70244
1168,5852.798334
1169,2112.453496
1170,2203.82925
